Category,Word,Definition
Disney Movies,Pinocchio,"23 February 1940 where Something must earn the right to become a real boy by proving to be truthful brave and selfless."
Disney Movies,Fantasia,"Released in 1940 representing Disney's boldest experiment to date."
Disney Movies,Cinderella,"12 March 2015 and named after the second official Disney Princess."
Disney Movies,Aladdin,"The highest-grossing film of 1992 with an earn of over $504 million in worldwide box office revenue."
Disney Movies,Heavyweights,"The film centers around a fat camp for kids that is taken over by a fitness guru named Tony Perkis (Ben Stiller)."
Disney Movies,Pocahontas,"Pocahontas was a Native American woman notable for her association with the colonial settlement at Jamestown Virginia."
Disney Movies,Hercules,"The 35th Disney animated feature film and the eighth animated film produced during the Disney Renaissance the film was directed by Ron Clements and John Musker."
Disney Movies,Tarzan,"The 37th Disney animated feature film the tenth and last released during the Disney Renaissance era and it is based on a story by Edgar Rice Burroughs being the first animated major motion picture version of the story."
Disney Movies,Dinosaur,"It follows a heroic young Iguanodon who was adopted and raised by a family of lemurs on a tropical island."
Disney Movies,Invincible,"It is based on the true story of Vince Papale (Mark Wahlberg) who played for the Philadelphia Eagles from 1976 to 1978 with the help of his coach Dick Vermeil (Greg Kinnear)."
Disney Movies,Ratatouille,"The film stars the voices of Patton Oswalt as Remy an anthropomorphic --- who is interested in cooking Lou Romano as Alfredo Linguini a young garbage boy who befriends Remy"
Disney Movies,Underdog,"Unlike the TV series the character in the film is portrayed as a regular animal rather than an anthropomorphic one."
Disney Movies,Enchanted,"The plot focuses on an archetypal Disney Princess who is forced from her traditional animated world into another world."
Disney Movies,Tangled,"The film tells of a young girl going against her mother's wishes by accepting the aid of an intruder to take her out into the world which she has never seen."
Disney Movies,Zokkomon,"Starring Darsheel Safary in the lead role this film is Disney's fourth involvement in a production for the Indian market (after the computer-animated Roadside Romeo Tollywood movie Anaganaga O Dheerudu and the live-action Do Dooni Chaar)."
Disney Movies,Frankenweenie,"In the film a boy named Victor loses his dog a Bull Terrier named Sparky and uses the power of electricity to resurrect him — but is then blackmailed by his peers into revealing how they too can reanimate their deceased past pets and other creatures resulting in mayhem."
Flower Meaning,Sunflower,"Legend has it that when Spanish explorers reached the Americas they thought these flowers were made of real gold."
Flower Meaning,Chrysanthemum,"A simple message: honesty. They also look lovely as part of a fall bouquet and because they can withstand cool temperatures often appear in autumn landscaping."
Flower Meaning,Rosemary,"Signifies remembrance perhaps because it's said to enhance memory"
Flower Meaning,Gladious,"Because of their association with swords this flower meaning is strength and integrity. They also symbolize infatuation."
Flower Meaning,Hollyhock,"Don't let its delicate appearance fool you — this flower means ambition perhaps because the flowers bloom on tall stalks stretching toward the sky. "
Flower Meaning,Heliotrope,"These also show up in perfume thanks to their sweet smell."
Flower Meaning,Hydrangea,"This flower is often given on 4th wedding anniversaries to symbolize appreciation and heartfelt emotion."
Flower Meaning,Magnolia,"These stunning blooms often festoon the trees as spring arrives getting everyone who sees them excited for the season to come. "
Flower Meaning,Dahlia,"These ruffled flowers stand for dignity and pomp so they would feel right at home at a momentous occasion like a graduation or new job."
Flower Meaning,Myrtle,"It stands for good luck and love in a marriage so there's no better flower to carry down the aisle."
Flower Meaning,Edelweiss,"They stand for courage and devotion probably because they thrive in harsh Alpine conditions."
Flower Meaning,Lavender,"It has calming aromatherapy properties so a bouquet of it may make an excellent gift for a student or anyone in your life who needs some relaxation."
Flower Meaning,Amaryllis,"These assertive blooms look like they're just bursting with excitement which may be why they signify pride. "
Flower Meaning,Carnation,"The two-toned version means I cannot be with you and yellow ones signify disdain."
Flower Meaning,Snapdragons,"They stand for deception so you may not want to give these to your main squeeze for Valentine's Day."
Chemical Elements,Hydrogen,"Atomic Weight of 1.008"
Chemical Elements,Lithium,"Atomic Weight 6.941"
Chemical Elements,Beryllium,"Atomic Weight 9.012"
Chemical Elements,Nitrogen,"Atomic Weight 14.007"
Chemical Elements,Fluorine,"Atomic Weight 18.998"
Chemical Elements,Sodium,"Atomic Weight 22.990"
Chemical Elements,Magnesium,"Atomic Weight 24.305"
Chemical Elements,Praseodymium,"Atomic Weight 140.908"
Chemical Elements,Phosphorus,"Atomic Weight 30.974"
Chemical Elements,Antimony,"Atomic Weight 121.760"
Chemical Elements,Scandium,"Atomic Weight 44.956"
Chemical Elements,Xenon,"Atomic Weight 131.293"
Chemical Elements,Germanium,"Atomic Weight 72.640"
Chemical Elements,Krypton,"Atomic Weight 83.800"
Chemical Elements,Molybdenum,"Atomic Weight 95.940"
Sports Activity,Octopush,"This subaquatic sport began in 1954 to help members of a British diving club stay active in the winter. "
Sports Activity,Hobbyhorsing,"Participants (mostly young girls) ride what Finns call “stick horses” through a circuit of jumps and obstacles similar to what you would see in an actual equestrian competition."
Sports Activity,Fierljeppen,"In this fascinating Dutch sport competitors sprint along a dock-like platform and launch themselves onto a giant pole in the middle of a canal. "
Sports Activity,Kaninhoppning,"Trainers guide their rabbits by leash through a series of obstacles similar to those seen in a horse jumping competition."
Sports Activity,Wrestling,"A combat sport involving grappling-type techniques."
Sports Activity,Buzkashi,"A Central Asian sport in which horse-mounted players attempt to place a goat or calf carcass in a goal."
Sports Activity,Zorbing,"The recreation or sport of rolling downhill inside an orb typically made of transparent plastic."
Sports Activity,Quidditch,"The game first began in US colleges and has since spread across the states."
Sports Activity,Kabaddi,"The objective of the game is for a single player on offense referred to as a "raider" to run into the opposing team's half of a court and tag out as many of their defenders as possible then return to their own half of the court all without being tackled by the defenders in a single breath."
Sports Activity,Bossaball,"A ball game between two teams combining elements of volleyball football and gymnastics with music into a sport. "
Sports Activity,Janken,"A cultural keystone in Japan with all kinds of disputes disagreements and predicaments being resolved through the game’s simple mechanics."
Sports Activity,Jousting,"A martial game or hastilude between two horsemen wielding lances with blunted tips often as part of a tournament."
Sports Activity,Cycleball,"The two people on each team ride a fixed gear bicycle with no brakes or freewheel. The ball is controlled by the bike and the head, except when defending the goal."
Sports Activity,Botaoshi,"Both teams attack and defend simultaneously it’s a race to see which can be the first to topple the other team’s pole. "
Sports Activity,Tombstoning,"The act of jumping in a straight upright vertical posture into the sea or other body of water from a high jumping platform such as a cliff bridge or harbour edge."
